station_id,lon,lat
48946,-11.25,13.75
64450,17.75,-28.75
64297,21.25,-28.25
65076,26.75,-30.75
63823,28.25,-26.75
65352,18.75,-31.75
65762,26.25,-33.25
48972,1.75,13.75
60335,14.25,-17.25
60533,19.75,-17.75
60536,21.25,-17.75
60355,24.25,-17.25
44182,32.75,23.75
48441,32.75,15.25
49774,34.25,11.75
47358,34.25,17.75
50544,31.75,9.75
52461,31.75,4.75
52435,18.75,4.75
29743,126.25,45.75
31304,126.75,43.75
33819,115.75,40.25
34175,118.75,39.75
38766,117.75,32.75
32037,123.75,42.75
37482,108.25,34.75
37488,111.25,34.75
37490,112.25,34.75
37493,113.75,34.75
40059,111.25,30.75
40065,114.25,30.75
40071,117.25,30.75
44875,108.25,22.75
44598,111.25,23.25
44322,113.25,23.75
44604,114.25,23.25
28025,85.75,47.75
26290,84.75,49.75
31185,67.25,43.75
24920,51.25,51.25
34417,68.25,39.25
35410,68.25,37.75
35417,71.75,37.75
35089,72.75,38.25
34422,70.75,39.25
41298,81.25,28.75
35404,65.25,37.75
33726,69.25,40.25
11873,168.75,65.25
15196,166.75,62.25
19324,114.75,57.75
16680,135.75,60.75
17645,134.75,59.75
18092,135.75,59.25
19356,130.75,57.75
15132,134.25,62.25
16672,131.75,60.75
17630,127.25,59.75
21420,114.25,55.25
19732,108.25,57.25
20144,105.25,56.75
20184,125.25,56.75
18942,127.25,58.25
22743,105.75,53.75
21402,105.25,55.25
18905,108.75,58.25
17601,112.75,59.75
17148,120.75,60.25
15649,129.25,61.75
4758,126.75,72.25
16665,128.25,60.75
18063,121.25,59.25
17614,119.25,59.75
16145,120.75,61.25
16647,119.25,60.75
15661,135.25,61.75
18086,132.75,59.25
19342,123.75,57.75
17609,116.75,59.75
17599,111.75,59.75
15099,117.75,62.25
6700,147.25,69.75
13527,141.75,63.75
24146,117.75,52.25
25954,130.25,50.25
27693,134.75,48.25
25968,137.25,50.25
22750,109.25,53.75
24586,108.25,51.75
25476,108.75,50.75
25472,106.75,50.75
25470,105.75,50.75
24126,107.75,52.25
19709,96.75,57.25
20544,98.25,56.25
19283,94.25,57.75
18875,93.75,58.25
18884,98.25,58.25
24579,104.75,51.75
22283,100.75,54.25
18020,99.75,59.25
9340,86.75,67.25
15571,90.25,61.75
18873,92.75,58.25
20950,92.75,55.75
21375,91.75,55.25
23631,91.25,52.75
24554,92.25,51.75
24099,94.25,52.25
24103,96.25,52.25
23173,91.25,53.25
22717,92.75,53.75
22721,94.75,53.75
20536,94.25,56.25
15048,92.25,62.25
15583,96.25,61.75
14493,86.25,62.75
16119,107.75,61.25
12886,100.25,64.25
17054,73.75,60.25
17539,81.75,59.75
18856,84.25,58.25
18442,87.75,58.75
19260,82.75,57.75
19265,85.25,57.75
20107,86.75,56.75
19693,88.75,57.25
20528,90.25,56.25
21372,90.25,55.25
20940,87.75,55.75
23620,85.75,52.75
22706,87.25,53.75
21361,84.75,55.25
17981,80.25,59.25
19261,83.25,57.75
23158,83.75,53.25
24081,85.25,52.25
22700,84.25,53.75
18824,68.25,58.25
21338,73.25,55.25
21339,73.75,55.25
17944,61.75,59.25
20478,65.25,56.25
20893,64.25,55.75
17517,70.75,59.75
20064,65.25,56.75
19646,65.25,57.25
18815,63.75,58.25
13367,61.75,63.75
14985,60.75,62.25
13917,64.25,63.25
10485,66.25,66.25
16041,68.75,61.25
33022,76.25,41.25
32272,59.75,42.25
34755,69.75,38.75
24481,55.75,51.75
47431,100.75,17.75
48496,100.25,15.25
45959,100.25,20.75
47882,104.75,16.75
48303,104.25,15.75
48505,104.75,15.25
9901,77.75,66.75
15692,150.75,61.75
9474,153.75,67.25
15167,151.75,62.25
15159,147.75,62.25
14613,146.25,62.75
5048,114.25,71.75
5067,123.75,71.75
7703,118.25,68.75
51052,-63.75,8.25
63945,-55.75,-27.25
63436,-63.75,-25.75
64103,-58.75,-27.75
65606,-60.75,-32.75
62538,-64.25,-23.25
62158,-62.75,-22.25
64085,-67.75,-27.75
64869,-69.25,-30.25
65168,-68.75,-31.25
65589,-69.25,-32.75
66313,-69.75,-36.75
66562,-65.25,-38.75
66498,-69.75,-38.25
66711,-70.75,-40.75
66688,-64.25,-40.25
66895,-69.25,-43.25
52392,-54.25,4.75
52734,-52.25,3.75
53725,-51.25,0.75
58063,-65.25,-10.75
58856,-62.75,-13.25
53693,-67.25,0.75
53346,-66.75,1.75
53512,-67.75,1.25
53689,-69.25,0.75
54640,-54.75,-1.75
54447,-54.25,-1.25
54260,-52.75,-0.75
56784,-64.75,-7.25
57571,-64.25,-9.25
56983,-60.75,-7.75
58384,-58.75,-11.75
58387,-57.25,-11.75
55258,-52.25,-3.25
59393,-48.75,-14.75
57010,-47.25,-7.75
57776,-47.75,-9.75
59733,-51.75,-15.75
57201,-49.25,-8.25
56628,-48.75,-6.75
59918,-51.75,-16.25
58558,-51.25,-12.25
56253,-47.25,-5.75
57203,-48.25,-8.25
55480,-49.75,-3.75
55267,-47.75,-3.25
54862,-46.25,-2.25
55272,-45.25,-3.25
55885,-44.75,-4.75
56074,-43.75,-5.25
55694,-44.25,-4.25
55275,-43.75,-3.25
56263,-42.25,-5.75
55892,-41.25,-4.75
55496,-41.75,-3.75
55278,-42.25,-3.25
57208,-45.75,-8.25
56084,-38.75,-5.25
60505,-44.75,-17.75
59227,-44.75,-14.25
58262,-43.75,-11.25
59058,-43.25,-13.75
58415,-43.25,-11.75
57797,-37.25,-9.75
58114,-39.75,-10.75
60323,-42.25,-17.25
59941,-40.25,-16.25
62007,-41.25,-21.75
63113,-48.75,-24.75
63795,-49.25,-26.75
62924,-53.25,-24.25
62562,-52.25,-23.25
62922,-54.25,-24.25
63458,-52.75,-25.75
63455,-54.25,-25.75
63629,-50.75,-26.25
61212,-57.25,-19.75
59721,-57.75,-15.75
61779,-57.75,-21.25
64591,-55.75,-29.25
63953,-51.75,-27.25
15237,-157.75,61.75
11939,-148.75,64.75
13081,-143.75,63.75
11954,-141.25,64.75
15786,-144.25,61.25
18167,-133.75,58.75
27764,-96.75,47.75
28190,-96.75,47.25
29024,-97.25,46.25
29773,-122.75,45.25
29379,-121.25,45.75
28564,-119.75,46.75
27288,-119.75,48.25
27720,-118.75,47.75
30178,-120.25,44.75
29776,-121.25,45.25
26424,-120.25,49.25
27729,-114.25,47.75
28576,-113.75,46.75
27723,-117.25,47.75
28984,-117.25,46.25
